Name,Description,ParentState,IsAbstract,DisplayName,IsCollection,EntityName
APP_ROOT,A root state all other states derive from,,TRUE,Root
Home,Home page for the app,APP_ROOT,FALSE,Home
Locations,Top Level Collection: Locations,APP_ROOT,FALSE,Locations,TRUE,Location
Location, ITEM: Location,Locations,FALSE,Location,FALSE,Location
Scenes,  - : Scenes,Location,FALSE,Scenes,TRUE,Scene
Scene, ITEM: Scene,Scenes,FALSE,Scene,FALSE,Scene
Shots,  - : Shots,Scene,FALSE,Shots,TRUE,Shot
Shot, ITEM: Shot,Shots,FALSE,Shot,FALSE,Shot
InventoryItems,  - : InventoryItems,Scene,FALSE,InventoryItems,TRUE,InventoryItem
InventoryItem, ITEM: InventoryItem,InventoryItems,FALSE,InventoryItem,FALSE,InventoryItem
StaffDirectories,  - : StaffDirectories,InventoryItem,FALSE,StaffDirectories,TRUE,StaffDirectory
StaffDirectory, ITEM: StaffDirectory,StaffDirectories,FALSE,StaffDirectory,FALSE,StaffDirectory
Videos,  - : Videos,StaffDirectory,FALSE,Videos,TRUE,Video
Video, ITEM: Video,Videos,FALSE,Video,FALSE,Video
Agencies,Top Level Collection: Agencies,APP_ROOT,FALSE,Agencies,TRUE,Agency
Agency, ITEM: Agency,Agencies,FALSE,Agency,FALSE,Agency
AgencyContacts,  - : AgencyContacts,Agency,FALSE,AgencyContacts,TRUE,AgencyContact
AgencyContact, ITEM: AgencyContact,AgencyContacts,FALSE,AgencyContact,FALSE,AgencyContact
About,A page about the app,APP_ROOT,FALSE,About
Contact,A contact page for the company,APP_ROOT,FALSE,Contact
Chat,Chat with a live representative,Contact,FALSE,Chat
Email,Send an email to a representative,Contact,FALSE,Email
Call,Get a phone number for your country and or state.,Contact,FALSE,Call
